postUrl,Texto,Comentarios,Likes,pubDate,Tipo,profileUrl,username,Etiqueta a,Vistas (video)
https://www.instagram.com/p/ChnzszQruEb/,"Este 29/08 estaré abriendo el concierto de TINI y como sé que much@s quieren ver ir, voy a sortear 2 entradas platinum 🎉. 

Participar es fácil: 

1. Tienes que seguirme en IG 🙄. 

2. Comenta tu canción favorita.

3. Pon en tu historia este post. (Si tienes Ig privado, toma screen por si ganas) 🤭. 

Suerte y nos vemos el 29!!",8632,3993,2022-08-24T00:23:37.000Z,Photo,https://www.instagram.com/djluigiperu,djluigiperu,,
https://www.instagram.com/p/CljskQCPNS3/,"Tengo 2 entradas para Morat así que te las regalo, pero no sin antes hacer un pequeño sorteo. 

El concierto es HOY!! Suerte a tod@s. 

Reglas:

1. Comparte la publicación.
2. Dale like y comenta.

A las 6 hago el sorteo en historias!",1540,1122,2022-11-29T20:09:54.000Z,Photo,https://www.instagram.com/djluigiperu,djluigiperu,,
https://www.instagram.com/p/Cf9wG4oL0f4/,Mi 🍑 viendo por primera vez el ☀️,794,24061,2022-07-13T19:52:44.000Z,Photo,https://www.instagram.com/djasto,djasto,,
https://www.instagram.com/p/CXcNhXfr2_c/,"Todo comenzó hace 6 meses cuando hice el primer vídeo para YouTube con una cámara, la sala de mi casa, un par de telas y mucha buena vibra y reggaeton, hoy somos 121k suscriptores y por fin llego la placa de reconocimiento, quiero agradecerles por el cariño y la acogida, por dejarme acompañarlos en sus clases, en sus trabajos, en sus entrenamientos y en sus partys en casita, gracias también a mi equipo de trabajo @rodrigodulanto y @steffanoreyes los cracks en la cámara  por hacer esto realidad, quizás no es un gran logro para algunos pero yo me siento muy feliz por haber llegado, esto es solo el comienzo, el cielo es el límite 📈

Gracias x la 📸 hermano @erickjc_photo",504,19891,2021-12-13T23:04:25.000Z,Photo,https://www.instagram.com/djasto,djasto,Erickphotography,
https://www.instagram.com/p/CbYBwMYlHuh/,FELIIIIIIIZZZZZ POR MI PRIMERA NOTA EN UN DIARIO RECONOCIDO EN MI PAÍS 😍♥️ GRACIAS @larepublica_pe 🇵🇪🇵🇪🇵🇪,450,18354,2022-03-21T18:10:12.000Z,Photo,https://www.instagram.com/djasto,djasto,Steffano Reyes,
https://www.instagram.com/p/CfcoxQZAarO/,El gatitotuyoteperdio,426,25980,2022-06-30T23:16:03.000Z,Video,https://www.instagram.com/djasto,djasto,,276042
https://www.instagram.com/p/CeFNCZTg94U/,Un Bellakeo bien nasty,426,14200,2022-05-28T00:19:09.000Z,Video,https://www.instagram.com/djasto,djasto,,114313
https://www.instagram.com/p/CeJ3sPdJaBc/,"🇨🇱 CHILE NOS VEMOS PRONTITO 🇨🇱

1 al 15 de junio 🗓

SANTIAGO @luxmusic.cl ✅
ARICA @tottemcl ✅
ANTOFAGASTA @clubsoho_antofagasta ✅
LOS ÁNGELES @club_blackmamba ✅

Entradas en las cuentas autorizadas 🎉",396,10362,2022-05-29T19:47:06.000Z,Photo,https://www.instagram.com/djasto,djasto,Jack's Boiler,
https://www.instagram.com/p/CTpK9jkLcJ5/,"Regresa RK con el Old School que esperabas.

Pero para escucharlo tienes que etiquetar a tu amig@ que va a bailar este mix de todas maneras 👀

#mix #djluigi #reggaeton #oldschool #2021",361,2686,2021-09-10T13:46:36.000Z,Photo,https://www.instagram.com/djluigiperu,djluigiperu,,
https://www.instagram.com/p/Cjg8e_qA07G/,Al enano dámelo siempre 💦,309,7799,2022-10-10T01:28:57.000Z,Video,https://www.instagram.com/djasto,djasto,,82843
https://www.instagram.com/p/CmaKgwYBuSU/,Una gatita que le gusta el 🥭,307,32832,2022-12-20T23:51:45.000Z,Video,https://www.instagram.com/djasto,djasto,,371200
https://www.instagram.com/p/CjES8mkg16g/,Cual falta? 👀,273,9506,2022-09-28T22:28:02.000Z,Video,https://www.instagram.com/djasto,djasto,,104743
https://www.instagram.com/p/Cfm1G16AG_C/,Benito y oldschool dámelo siempre 🥵,264,14148,2022-07-04T22:16:37.000Z,Video,https://www.instagram.com/djasto,djasto,,117299
https://www.instagram.com/p/Ck6oT6Fg-J9/,No le crean es enano,263,9683,2022-11-13T21:26:10.000Z,Video,https://www.instagram.com/djasto,djasto,,72380
https://www.instagram.com/p/CgZJorMp12o/,Mis mamis a tope 💜💜,262,73683,2022-07-24T11:16:05.000Z,Video,https://www.instagram.com/djlindaperu,djlindaperu,,773017
https://www.instagram.com/p/ClXQ2f7AWZi/,CHILE NOS VEMOS EN ENERO 🇨🇱💖🤙🏻,237,5111,2022-11-25T00:18:35.000Z,Video,https://www.instagram.com/djasto,djasto,Steffano Reyes,50998
https://www.instagram.com/p/CiyVF_cAv2Q/,Estoy buscando alguien que me quiera como pucca quiere a garu 🥵💖,228,12697,2022-09-21T23:14:58.000Z,Video,https://www.instagram.com/djasto,djasto,,103228
https://www.instagram.com/p/CkHkvx7A4IF/,Las del baúl 🤌🏼🥵,213,7786,2022-10-25T01:32:25.000Z,Video,https://www.instagram.com/djasto,djasto,,51314
https://www.instagram.com/p/Ckw-ojLgLxK/,Team sangre? 🧐,212,9368,2022-11-10T03:32:20.000Z,Video,https://www.instagram.com/djasto,djasto,,74802
https://www.instagram.com/p/CjL3mc-gB_M/,"Dicese por REGGAETON CHANCA🥚 a la rama del reggaeton que práctica el perreo muy intenso, en donde el Varón baila con la espalda en la pared y la dama hace un movimiento pélvico de espaldas al varón con la oreja en el piso, no apto para cardíacos",209,6477,2022-10-01T21:05:02.000Z,Video,https://www.instagram.com/djasto,djasto,Dj Nelson,54437
https://www.instagram.com/p/CjoYYNqgETH/,Ponme estos himnos y no me hago cargo de mis acciones 💦🥵,208,8420,2022-10-12T22:49:01.000Z,Video,https://www.instagram.com/djasto,djasto,,72403
https://www.instagram.com/p/CjWurEuMk5E/,"Me gradué!!
Dios y Familia gracias por todo 💜",199,12696,2022-10-06T02:15:23.000Z,Photo,https://www.instagram.com/djlindaperu,djlindaperu,Alfredo Vasquez,
https://www.instagram.com/p/Ch8frefAmDF/,Esa wacha me quita los Calvin klein 🫢,198,11349,2022-09-01T01:14:28.000Z,Video,https://www.instagram.com/djasto,djasto,,86445
https://www.instagram.com/p/CdzEDrKLDuP/,"Ansioso por todo lo que se viene este año y por la gente linda que me falta por conocer 🫂 

@jeremyreyesdulantoph",192,7183,2022-05-20T23:12:37.000Z,Photo,https://www.instagram.com/djasto,djasto,"Jeremy Reyes 
Dulanto",
https://www.instagram.com/p/CkWqS3qA_fk/,"Estás perdida que vas a hacer hoy ? 
Te vi puesta pal gym no para el bacilon 💚",186,7842,2022-10-30T22:30:07.000Z,Video,https://www.instagram.com/djasto,djasto,,68015
https://www.instagram.com/p/ClkQjf7ggSh/,Yo soy chiquito velda?,185,4540,2022-11-30T01:25:19.000Z,Video,https://www.instagram.com/djasto,djasto,,46289
https://www.instagram.com/p/Ck5yGrhAUdp/,"¡MUCHAS GRACIAS POR HACER POSIBLE ESTE SUEÑO! 🙌🏻 Hoy y mañana presente en el concierto de @badbunnypr 🔥 Disfrutaremos de las mejores previas, ¡NOS VEMOS! ♥️",166,1756,2022-11-13T13:30:11.000Z,Photo,https://www.instagram.com/djsteveperu,djsteveperu,,
https://www.instagram.com/p/CeUXu8zpQeQ/,Tu flayte favorito 🇨🇱,160,8391,2022-06-02T21:39:29.000Z,Photo,https://www.instagram.com/djasto,djasto,,
https://www.instagram.com/p/CjbbsJTAfhW/,Creo q encontré disfraz de Halloween 🔫,155,7133,2022-10-07T22:10:05.000Z,Video,https://www.instagram.com/djasto,djasto,,63984
https://www.instagram.com/p/ChtMr_RAL_O/,YO ESTOY PUESTO PATIII Y TU TE ME QUITAAA DIABLOOO 🥵🥵🥵🥵🥵,155,7316,2022-08-26T02:40:22.000Z,Video,https://www.instagram.com/djasto,djasto,,54562
https://www.instagram.com/p/Ch_Nd8jACyU/,A mis papás les gusta el tal dj asto 🤣,150,5650,2022-09-02T02:32:28.000Z,Video,https://www.instagram.com/djasto,djasto,,60880
https://www.instagram.com/p/CkO0w1BAhN7/,Se busca Zendaya,146,7594,2022-10-27T21:07:26.000Z,Video,https://www.instagram.com/djasto,djasto,,83529
https://www.instagram.com/p/Cjy7G6hAu-P/,Me exita esta Intro csm 😳🔥,145,7821,2022-10-17T01:06:10.000Z,Video,https://www.instagram.com/djasto,djasto,,68152
https://www.instagram.com/p/ChDnYVvgJ2z/,El ferxxo no se le dedica a cualquiera mor 🥵,141,5371,2022-08-09T23:08:45.000Z,Video,https://www.instagram.com/djasto,djasto,,38387
https://www.instagram.com/p/Ci3b-cGAIp_/,Himnos 💔,135,6560,2022-09-23T22:36:40.000Z,Video,https://www.instagram.com/djasto,djasto,,46384
https://www.instagram.com/p/Citc4E7rOy4/,"Hacer una fiesta y ser el responsable de todo lo que sucede desde la pre hasta la realización es como tener un hijo...
Una gran responsabilidad y una constante preocupación.
Más aún si eres padre primerizo y al mismo tiempo artista como yo: una persona sensible, creativa y muy obsesiva, pero también alguien desordenado y despreocupado para algunas cosas.

Tomé la decisión de apostar por mi al hacer el Corona Love por muchas razones, las voy a enumerar porque todas son positivas y se reafirmaron durante la fiesta cuando tanto el público que asistió (a quienes les digo de corazón GRACIAS por hacer realidad este sueño) como en el feedback y el agradecimiento del equipo de trabajo y de los artistas a quienes también agradezco una vez más por su talento y su confianza en mí.

Razones por las cuales el Corona Love fue un ÉXITO ROTUNDO:

1- EL TOTAL COMPROMISO del @vpx_club en el proyecto: Gracias a los dueños del club por confiar en mí, por invertir en esta locura y dejarme trabajar con tanta libertad y tener todo el poder de decisión del proyecto. Gracias 🙏🏻

2- EL SUPERLATIVO TRABAJO DEL EQUIPO DE PRODUCCIÓN DE LA FIESTA: Gracias @dj.chrisiberico @danicitas @andreacruzado_ por hacer todo lo que yo no sé hacer. SON LOS MEJORES, ESPERO TRABAJEMOS SIEMPRE JUNTOS (les debo sus gafas) 💎

3- EL APOYO Y TRABAJO DE MI EQUIPO (MI FAMILIA): @dianatamara00 @colorthug @fabriziocanor @blinders.co @beatescape.pe y especialmente @alvaro_isla y mi pastor @asenjo_oscar SOMOS FAMILIA, LOS AMO ❤️

4- EL COMPROMISO Y TALENTO DE @vjlipa quien además de su gran trabajo de VJ, fue mi brazo derecho en el concepto audiovisual , te luciste 👏🏻

5- USTEDES, MI GENTE, LOS QUE FUERON PARTE DE ESTO. 
QUIEREN MÁS? 🕺",131,1442,2022-09-20T01:31:01.000Z,Video,https://www.instagram.com/tolinchilove,tolinchilove,Christian Carranza Iberico,
https://www.instagram.com/p/CfvHHNCsjV0/,Gracias 100k Youtube 💜🥳 #hb #saocopapi,131,9150,2022-07-08T03:25:09.000Z,Photo,https://www.instagram.com/djlindaperu,djlindaperu,The Party Producciones,
https://www.instagram.com/p/CemCRL1pSmR/,Tu estás dura de espalda y más rica de frenteee 👅,130,7253,2022-06-09T18:28:29.000Z,Video,https://www.instagram.com/djasto,djasto,,62618
https://www.instagram.com/p/Cgc2RMxtq_A/,Tu enano del perreo 🤙🏻🫡,129,8236,2022-07-25T21:43:01.000Z,Video,https://www.instagram.com/djasto,djasto,,
https://www.instagram.com/p/ClPZ8_Igxcb/,No es recomendable⚠️🫤,125,11443,2022-11-21T23:07:09.000Z,Video,https://www.instagram.com/djasto,djasto,,80550
https://www.instagram.com/p/Cdoafe_pO26/,Si tu me lo pides yo me porto bonito 😇,124,7915,2022-05-16T19:57:01.000Z,Photo,https://www.instagram.com/djasto,djasto,,
https://www.instagram.com/p/CeY_5kfLKMd/,"Una niña me envió una carta con su mamá 😍💕💖

GRACIAS POR EL CARIÑO ANTOFAGASTA❤️ 

Espero verlos prontito",123,7300,2022-06-04T16:47:26.000Z,Video,https://www.instagram.com/djasto,djasto,,
https://www.instagram.com/p/CgTAQrVrw3z/,"ESTRENO ESTE SÁBADO!! Saoco Papi Vol. 4 (Especial 200k Suscriptores )
8pm En mi canal de YouTube: Dj Linda 💜💜💜🔥
.
.
.
.
.
.
#saocopapi #djlinda #mix #youtube #saoco",122,6015,2022-07-22T02:10:31.000Z,Video,https://www.instagram.com/djlindaperu,djlindaperu,,48694
https://www.instagram.com/p/Cl7Xih3ga6j/,Me ponen esto en el party y hago beso de 3,121,5419,2022-12-09T00:49:51.000Z,Video,https://www.instagram.com/djasto,djasto,,39598
https://www.instagram.com/p/CecGxXpJyn-/,"Si no hay pal gym, hay parque prros 😎❤️💕",120,11386,2022-06-05T21:53:51.000Z,Video,https://www.instagram.com/djasto,djasto,,61192
https://www.instagram.com/p/Ch3b0PJgwGT/,Guet redy weed mi 😁👍🏼🧥,119,7365,2022-08-30T02:05:56.000Z,Video,https://www.instagram.com/djasto,djasto,Andrea Llosa,60602
https://www.instagram.com/p/CeXaJ1yLBv5/,En breves mi primer show en Chile y estoy nervioso PERO FELIZ 😁,119,7758,2022-06-04T01:58:22.000Z,Photo,https://www.instagram.com/djasto,djasto,,
https://www.instagram.com/p/CeqL_Q2gx3O/,"CHILITO AKI LLEGÓ TU TIBURÓN 🦈🇨🇱
📹: @bastigonzaleza",116,6637,2022-06-11T09:04:39.000Z,Video,https://www.instagram.com/djasto,djasto,✖️T A T Á N✖️,53209
